station,fecha_de_inicio,total_pax
Constitucion,2024-01-10 17:00:00,1422.0
Constitucion,2024-01-10 18:00:00,2498.0
Constitucion,2024-01-10 19:00:00,932.0
Constitucion,2024-01-10 20:00:00,1054.0
Constitucion,2024-01-10 21:00:00,384.0
Constitucion,2024-01-10 22:00:00,485.0
Constitucion,2024-01-10 23:00:00,104.0
Constitucion,2024-01-11 05:00:00,233.0
Constitucion,2024-01-11 06:00:00,5137.0
Constitucion,2024-01-11 07:00:00,6116.0
Constitucion,2024-01-11 08:00:00,11185.0
Constitucion,2024-01-11 09:00:00,6082.0
Constitucion,2024-01-11 10:00:00,5637.0
Constitucion,2024-01-11 11:00:00,2768.0
Constitucion,2024-01-11 12:00:00,3932.0
Constitucion,2024-01-11 13:00:00,2124.0
Constitucion,2024-01-11 14:00:00,3306.0
Constitucion,2024-01-11 15:00:00,1556.0
Constitucion,2024-01-11 16:00:00,2665.0
Constitucion,2024-01-11 17:00:00,1679.0
Constitucion,2024-01-11 18:00:00,2120.0
Constitucion,2024-01-11 19:00:00,891.0
Constitucion,2024-01-11 20:00:00,1191.0
Constitucion,2024-01-11 21:00:00,517.0
Constitucion,2024-01-11 22:00:00,504.0
Constitucion,2024-01-11 23:00:00,88.0
Constitucion,2024-01-12 05:00:00,217.0
Constitucion,2024-01-12 06:00:00,5184.0
Constitucion,2024-01-12 07:00:00,5643.0
Constitucion,2024-01-12 08:00:00,10904.0
Constitucion,2024-01-12 09:00:00,4966.0
Constitucion,2024-01-12 10:00:00,5725.0
Constitucion,2024-01-12 11:00:00,3153.0
Constitucion,2024-01-12 12:00:00,4045.0
Constitucion,2024-01-12 13:00:00,2104.0
Constitucion,2024-01-12 14:00:00,3370.0
Constitucion,2024-01-12 15:00:00,1421.0
Constitucion,2024-01-12 16:00:00,3283.0
Constitucion,2024-01-12 17:00:00,1747.0
Constitucion,2024-01-12 18:00:00,2281.0
Constitucion,2024-01-12 19:00:00,1142.0
Constitucion,2024-01-12 20:00:00,1577.0
Constitucion,2024-01-12 21:00:00,638.0
Constitucion,2024-01-12 22:00:00,617.0
Constitucion,2024-01-12 23:00:00,109.0
Constitucion,2024-01-13 06:00:00,1249.0
Constitucion,2024-01-13 07:00:00,1537.0
Constitucion,2024-01-13 08:00:00,3772.0
Constitucion,2024-01-13 09:00:00,2052.0
Constitucion,2024-01-13 10:00:00,2998.0
Constitucion,2024-01-13 11:00:00,1961.0
Constitucion,2024-01-13 12:00:00,2577.0
Constitucion,2024-01-13 13:00:00,1554.0
Constitucion,2024-01-13 14:00:00,2098.0
Constitucion,2024-01-13 15:00:00,1006.0
Constitucion,2024-01-13 16:00:00,1853.0
Constitucion,2024-01-13 17:00:00,1078.0
Constitucion,2024-01-13 18:00:00,1715.0
Constitucion,2024-01-13 19:00:00,818.0
Constitucion,2024-01-13 20:00:00,1434.0
Constitucion,2024-01-13 21:00:00,668.0
Constitucion,2024-01-13 22:00:00,636.0
Constitucion,2024-01-13 23:00:00,110.0
Constitucion,2024-01-14 00:00:00,15.0
Constitucion,2024-01-14 08:00:00,645.0
Constitucion,2024-01-14 09:00:00,681.0
Constitucion,2024-01-14 10:00:00,1314.0
Constitucion,2024-01-14 11:00:00,935.0
Constitucion,2024-01-14 12:00:00,1559.0
Constitucion,2024-01-14 13:00:00,1046.0
Constitucion,2024-01-14 14:00:00,1402.0
Constitucion,2024-01-14 15:00:00,633.0
Constitucion,2024-01-14 16:00:00,1351.0
Constitucion,2024-01-14 17:00:00,844.0
Constitucion,2024-01-14 18:00:00,1370.0
Constitucion,2024-01-14 19:00:00,644.0
Constitucion,2024-01-14 20:00:00,1320.0
Constitucion,2024-01-14 21:00:00,647.0
Constitucion,2024-01-14 22:00:00,468.0
Constitucion,2024-01-15 05:00:00,262.0
Constitucion,2024-01-15 06:00:00,4344.0
Constitucion,2024-01-15 07:00:00,5243.0
Constitucion,2024-01-15 08:00:00,9333.0
Constitucion,2024-01-15 09:00:00,4730.0
Constitucion,2024-01-15 10:00:00,5085.0
Constitucion,2024-01-15 11:00:00,2225.0
Constitucion,2024-01-15 12:00:00,3336.0
Constitucion,2024-01-15 13:00:00,1952.0
Constitucion,2024-01-15 14:00:00,2766.0
Constitucion,2024-01-15 15:00:00,1229.0
Constitucion,2024-01-15 16:00:00,2158.0
Constitucion,2024-01-15 17:00:00,1351.0
Constitucion,2024-01-15 18:00:00,1989.0
Constitucion,2024-01-15 19:00:00,819.0
Constitucion,2024-01-15 20:00:00,1102.0
Constitucion,2024-01-15 21:00:00,526.0
Constitucion,2024-01-15 22:00:00,536.0
Constitucion,2024-01-15 23:00:00,103.0
Constitucion,2024-01-16 05:00:00,190.0
Constitucion,2024-01-16 06:00:00,4550.0
Constitucion,2024-01-16 07:00:00,4469.0
Constitucion,2024-01-16 08:00:00,9735.0
Constitucion,2024-01-16 09:00:00,4759.0
Constitucion,2024-01-16 10:00:00,4898.0
Constitucion,2024-01-16 11:00:00,2063.0
Constitucion,2024-01-16 12:00:00,3082.0
Constitucion,2024-01-16 13:00:00,1950.0
Constitucion,2024-01-16 14:00:00,2662.0
Constitucion,2024-01-16 15:00:00,1410.0
Constitucion,2024-01-16 16:00:00,2471.0
Constitucion,2024-01-16 17:00:00,1486.0
Constitucion,2024-01-16 18:00:00,1847.0
Constitucion,2024-01-16 19:00:00,738.0
Constitucion,2024-01-16 20:00:00,934.0
Constitucion,2024-01-16 21:00:00,465.0
Constitucion,2024-01-16 22:00:00,468.0
Constitucion,2024-01-16 23:00:00,94.0
Constitucion,2024-01-17 05:00:00,210.0
Constitucion,2024-01-17 06:00:00,5126.0
Constitucion,2024-01-17 07:00:00,6101.0
Constitucion,2024-01-17 08:00:00,11682.0
Constitucion,2024-01-17 09:00:00,5836.0
Constitucion,2024-01-17 10:00:00,6182.0
Constitucion,2024-01-17 11:00:00,2864.0
Constitucion,2024-01-17 12:00:00,4253.0
Constitucion,2024-01-17 13:00:00,2132.0
Constitucion,2024-01-17 14:00:00,3240.0
Constitucion,2024-01-17 15:00:00,1461.0
Constitucion,2024-01-17 16:00:00,2766.0
Constitucion,2024-01-17 17:00:00,1300.0
Constitucion,2024-01-17 18:00:00,2023.0
Constitucion,2024-01-17 19:00:00,913.0
